URL;NAME;ADDRESS;CITY;RATINGS;AVG RATINGS;CATEGORY;TIPS;OPENING
https://www.tripadvisor.it/Attraction_Review-g187874-d246483-Reviews-Cattedrale_di_San_Sabino-Bari_Province_of_Bari_Puglia.html;Cattedrale di San Sabino;Piazza Odegitria;Bari, ;793;4.5;Siti d'interesse, Siti storici, Siti religiosi e luoghi sacri;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10742709-Reviews-Palazzo_Mincuzzi-Bari_Province_of_Bari_Puglia.html;Palazzo Mincuzzi;Via Nicolo' Putignani 70;70121, Bari, ;50;4.5;Siti d'interesse, Siti storici, Edifici architettonici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d12885426-Reviews-Muraglia_di_Bari_Vecchia-Bari_Province_of_Bari_Puglia.html;Muraglia di Bari Vecchia;Via Venezia;70122, Bari, ;44;4.5;Siti d'interesse, Siti storici, Luoghi e punti d'interesse;Durata consigliata: 2-3 ore;-
https://www.tripadvisor.it/Attraction_Review-g187874-d242624-Reviews-La_Chiesa_del_Barsento-Bari_Province_of_Bari_Puglia.html;La Chiesa del Barsento;SS. per Noci, contrada Barsento;70015, Bari, ;42;4.5;Siti d'interesse, Siti storici, Siti religiosi e luoghi sacri;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d12491904-Reviews-Piazza_dell_Odegitria-Bari_Province_of_Bari_Puglia.html;Piazza dell'Odegitria;Piazza dell'Odegitria;70122, Bari, ;17;4.5;Siti d'interesse, Siti storici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10375940-Reviews-Chiesa_di_San_Gregorio-Bari_Province_of_Bari_Puglia.html;Chiesa di San Gregorio;Piazza San Nicola;70122, Bari, ;13;4.5;Siti d'interesse, Chiese e cattedrali, Siti storici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d12080835-Reviews-Fortino_S_Antonio-Bari_Province_of_Bari_Puglia.html;Fortino S. Antonio;Via Venezia;Bari, ;6;4.5;Siti d'interesse, Siti storici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10842915-Reviews-Palazzo_dell_Ateneo-Bari_Province_of_Bari_Puglia.html;Palazzo dell'Ateneo;Piazza Umberto I, 1;70121, Bari, ;19;3.5;Siti d'interesse, Siti storici, Altro;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10375943-Reviews-Piazzetta_Santa_Maria_del_Buon_Consiglio-Bari_Province_of_Bari_Puglia.html;Piazzetta Santa Maria del Buon Consiglio;Strada Santa Maria del Buon Consiglio;70122, Bari, ;9;4;Siti d'interesse, Chiese e cattedrali, Siti storici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10742711-Reviews-Palazzo_Atti-Bari_Province_of_Bari_Puglia.html;Palazzo Atti;Corso Cavour 24;70121, Bari, ;7;4;Siti d'interesse, Siti storici, Edifici architettonici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10366356-Reviews-Arco_Angioino-Bari_Province_of_Bari_Puglia.html;Arco Angioino;Piazza San Nicola;70122, Bari, ;8;4;Siti d'interesse, Monumenti e statue, Altro;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d12828237-Reviews-Palazzo_de_Governo-Bari_Province_of_Bari_Puglia.html;Palazzo de Governo;Piazza della Liberta' 1;70122, Bari, ;8;3.5;Siti d'interesse, Siti storici, Edifici governativi;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d13004638-Reviews-Palazzo_Calo_Carducci-Bari_Province_of_Bari_Puglia.html;Palazzo Calo Carducci;Piazza Mercantile;Bari, ;1;5;Siti d'interesse, Luoghi e punti d'interesse, Altro;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d13004651-Reviews-Palazzo_Dentamaro-Bari_Province_of_Bari_Puglia.html;Palazzo Dentamaro;Via San Luca;70129, Bari, ;1;5;Siti d'interesse, Siti storici;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d10825831-Reviews-Casa_Niccolo_Piccinni-Bari_Province_of_Bari_Puglia.html;Casa Niccolò Piccinni;Vico Fiscardi;70122, Bari, ;1;5;Siti d'interesse, Siti storici;Durata consigliata: Meno di 1 ora;-
https://www.tripadvisor.it/Attraction_Review-g187874-d13451732-Reviews-Chiesa_rupestre_di_Santa_Candida-Bari_Province_of_Bari_Puglia.html;Chiesa rupestre di Santa Candida;Localit… Lama Picone;70124, Bari, ;0;-;Siti d'interesse, Siti storici;-;-
https://www.tripadvisor.it/Attraction_Review-g187874-d7055537-Reviews-Citta_Vecchia_Bari-Bari_Province_of_Bari_Puglia.html;Città Vecchia - Bari;70100, Bari, ;70100, Bari, ;1785;4.5;Siti d'interesse, Luoghi e punti d'interesse;-;-
