CITY;LAT;LON
Acquaviva;40.897411;16.845878
Adelfia;41.003753;16.870845
Alberobello;40.7864131;17.240936
Altamura;40.8253924;16.5527874
Bari;41.1171432;16.8718715
Binetto;41.0247641;16.7103156
Bitetto;41.0401091;16.7481104
Bitonto;41.1078251;16.6910569
Bitritto;41.0360783;16.8237374
Capurso;41.0489013;16.9192635
Casamassima;40.9548003;16.9184534
Cassano;40.890565;16.769250
Cellamare;41.0203873;16.9286183
Conversano;40.9673601;17.1171189
Corato;41.1534886;16.4131601
Gioia;40.798768;16.922219
Giovinazzo;41.18668390000001;16.6735966
Gravina;40.8171447;16.418512
Locorotondo;40.7559127;17.3262806
Modugno;41.08636509999999;16.7824429
Mola;41.062412;17.090732
Molfetta;41.2027767;16.5987187
Monopoli;40.9525166;17.2985559
Noci;40.793902;17.1258599
Noicattaro;41.0334659;16.9883243
Poggiorsini;40.9147087;16.2541178
Polignano;40.9948996;17.2225389
Putignano;40.8507408;17.1213045
Rutigliano;41.0092589;17.0035634
Ruvo;41.116989;16.483832
Terlizzi;41.13014709999999;16.5427275
Toritto;40.997782;16.6794346
Triggiano;41.06216269999999;16.926017
Turi;40.916731;17.021806
Valenzano;41.044257;16.884209
